file_name;dt;sizes;res
lowinput.txt;512;32 ;1.439501383279804
lowinput.txt;512;64 ;1.4595047717307197
lowinput.txt;512;128 ;1.3008793608828093
lowinput.txt;512;256 ;1.4211088089407924
lowinput.txt;512;64 32 ;STACK OVERFLOW
lowinput.txt;512;128 64 32 ;STACK OVERFLOW
lowinput.txt;512;128 64 ;STACK OVERFLOW
lowinput.txt;512;256 128 64 ;STACK OVERFLOW
lowinput.txt;512;256 128 ;STACK OVERFLOW
lowinput.txt;512;256 64 ;STACK OVERFLOW
lowinput.txt;512;128 32 ;STACK OVERFLOW
lowinput.txt;640;32 ;1.3336475856583094
lowinput.txt;640;64 ;1.4065811142528664
lowinput.txt;640;128 ;1.308588442748533
lowinput.txt;640;256 ;1.0867623757622318
lowinput.txt;640;64 32 ;STACK OVERFLOW
lowinput.txt;640;128 64 32 ;STACK OVERFLOW
lowinput.txt;640;128 64 ;STACK OVERFLOW
lowinput.txt;640;256 128 64 ;STACK OVERFLOW
lowinput.txt;640;256 128 ;STACK OVERFLOW
lowinput.txt;640;256 64 ;STACK OVERFLOW
lowinput.txt;640;128 32 ;STACK OVERFLOW
lowinput.txt;768;32 ;1.493648332068499
lowinput.txt;768;64 ;1.5009283819628647
lowinput.txt;768;128 ;1.3701383213777656
lowinput.txt;768;256 ;1.4793947514624661
lowinput.txt;768;64 32 ;STACK OVERFLOW
lowinput.txt;768;128 64 32 ;STACK OVERFLOW
lowinput.txt;768;128 64 ;STACK OVERFLOW
lowinput.txt;768;256 128 64 ;STACK OVERFLOW
lowinput.txt;768;256 128 ;STACK OVERFLOW
lowinput.txt;768;256 64 ;STACK OVERFLOW
lowinput.txt;768;128 32 ;STACK OVERFLOW
lowinput.txt;896;32 ;1.3341585617447687
lowinput.txt;896;64 ;1.4081562820791986
lowinput.txt;896;128 ;1.3143636944339596
lowinput.txt;896;256 ;1.1507155748748061
lowinput.txt;896;64 32 ;STACK OVERFLOW
lowinput.txt;896;128 64 32 ;STACK OVERFLOW
lowinput.txt;896;128 64 ;STACK OVERFLOW
lowinput.txt;896;256 128 64 ;STACK OVERFLOW
lowinput.txt;896;256 128 ;STACK OVERFLOW
lowinput.txt;896;256 64 ;STACK OVERFLOW
lowinput.txt;896;128 32 ;STACK OVERFLOW
lowinput.txt;1024;32 ;1.3330192290703495
lowinput.txt;1024;64 ;1.4114492392117735
lowinput.txt;1024;128 ;1.3135627647844001
lowinput.txt;1024;256 ;1.4010523057876818
lowinput.txt;1024;64 32 ;STACK OVERFLOW
lowinput.txt;1024;128 64 32 ;STACK OVERFLOW
lowinput.txt;1024;128 64 ;STACK OVERFLOW
lowinput.txt;1024;256 128 64 ;STACK OVERFLOW
lowinput.txt;1024;256 128 ;STACK OVERFLOW
lowinput.txt;1024;256 64 ;STACK OVERFLOW
lowinput.txt;1024;128 32 ;STACK OVERFLOW
orient_express_input.txt;256;32 ;0.6668665217717155
orient_express_input.txt;256;64 ;0.800251821206943
orient_express_input.txt;256;128 ;0.8898889888988899
orient_express_input.txt;256;256 ;0.9694922641098278
orient_express_input.txt;256;64 32 ;0.800251821206943
orient_express_input.txt;256;128 64 32 ;0.8884672990514229
orient_express_input.txt;256;128 64 ;0.8884672990514229
orient_express_input.txt;256;256 128 64 ;0.9652853113473638
orient_express_input.txt;256;256 128 ;0.9669637035427081
orient_express_input.txt;256;256 64 ;0.9636127355425601
orient_express_input.txt;256;128 32 ;0.8870501445518891
orient_express_input.txt;384;32 ;0.6664669313160063
orient_express_input.txt;384;64 ;NOT MATCH
orient_express_input.txt;384;128 ;0.8898
orient_express_input.txt;384;256 ;0.9237956810631229
orient_express_input.txt;384;64 32 ;NOT MATCH
orient_express_input.txt;384;128 64 32 ;NOT MATCH
orient_express_input.txt;384;128 64 ;NOT MATCH
orient_express_input.txt;384;256 128 64 ;NOT MATCH
orient_express_input.txt;384;256 128 ;0.9237956810631229
orient_express_input.txt;384;256 64 ;NOT MATCH
orient_express_input.txt;384;128 32 ;0.886343261281004
orient_express_input.txt;512;32 ;0.6661675525941454
orient_express_input.txt;512;64 ;0.7992454863918081
orient_express_input.txt;512;128 ;0.8886447618096475
orient_express_input.txt;512;256 ;0.9420857596611965
orient_express_input.txt;512;64 32 ;0.7992454863918081
orient_express_input.txt;512;128 64 32 ;0.8872270415794197
orient_express_input.txt;512;128 64 ;0.8872270415794197
orient_express_input.txt;512;256 128 64 ;0.9381128096995256
orient_express_input.txt;512;256 128 ;0.9396979617699863
orient_express_input.txt;512;256 64 ;0.9365329965266814
orient_express_input.txt;512;128 32 ;0.885813837730214
orient_express_input.txt;640;32 ;0.6661176822877676
orient_express_input.txt;640;64 ;0.7991737021735226
orient_express_input.txt;640;128 ;0.8885560215698023
orient_express_input.txt;640;256 ;0.9301693497804725
orient_express_input.txt;640;64 32 ;0.7991737021735226
orient_express_input.txt;640;128 64 32 ;0.8871385842472582
orient_express_input.txt;640;128 64 ;0.8871385842472582
orient_express_input.txt;640;256 128 64 ;0.9286161552911709
orient_express_input.txt;640;256 128 ;0.9301693497804725
